section,cluster,id,address,longitude_x,latitude_y,assignment,datebegin,city,state,dateend
S,3801,S-263801,2611 TITAN ST,-75.18758009679659,39.9372207446079,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,779,S-130779,2610 EARP ST,-75.1878809297846,39.9358289702027,Green,4/15/2013,Philadelphia,PA,4/15/2015
S,3801,S-263801,2609 TITAN ST,-75.18753563312519,39.9372155528322,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,779,S-130779,2608 EARP ST,-75.187831142451,39.9358218973959,Green,4/15/2013,Philadelphia,PA,4/15/2015
NNE,230,NNE-230230,2564 FRANKFORD AVE,-75.1247307582053,39.9848388439383,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNE,230,NNE-230230,2562 FRANKFORD AVE,-75.1247640023348,39.9847981138285,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNE,230,NNE-230230,2560 FRANKFORD AVE,-75.1247569115029,39.9847449202812,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2543 W ARIZONA ST,-75.17455183885799,39.9915358113621,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,296,NNE-250296,2542 N FAIRHILL ST,-75.14215080616469,39.9902424165958,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2541 W ARIZONA ST,-75.1745093080971,39.9915307353234,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2539 W ARIZONA ST,-75.1744671142835,39.9915257826218,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2537 W ARIZONA ST,-75.1744253935892,39.9915196105566,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNW,598,NNW-160598,2536 N 24TH ST,-75.1714291409656,39.9939869127285,Placebo/mow,4/19/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2535 W ARIZONA ST,-75.17438297252011,39.9915148917003,Green,4/19/2013,Philadelphia,PA,4/15/2015
S,393,S-100393,2535 ANNIN ST,-75.1861780927976,39.939012847897,Green,4/15/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2533 W ARIZONA ST,-75.1743408168132,39.991509713491,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2532 W ARIZONA ST,-75.1743682210053,39.9913048514204,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2531 W ARIZONA ST,-75.1742995870672,39.9915042322862,Green,4/19/2013,Philadelphia,PA,4/15/2015
S,393,S-100393,2531 ANNIN ST,-75.1860882850867,39.9390014455588,Green,4/15/2013,Philadelphia,PA,4/15/2015
NNW,101,NNW-0800101,2529 W ARIZONA ST,-75.1742546912877,39.9914982123682,Green,4/19/2013,Philadelphia,PA,4/15/2015
